eid,name_usuall,brand,racket_weight,price_old,price_new,入门,高端,性价比,暴力,进攻,杀球,控制,头重,连贯,速度,中杆硬,中杆软,糖水,颜值,拉吊
20985,NANOFLARE 700 TOUR,尤尼克斯 YONEX,4U、5U,563.0,685.0,0.01646698762099166,0.0,0.11496388219639705,0.08788838546867903,0.04443942755442417,0.09182035967395434,0.0,0.21071100404556778,0.16345592497685707,0.06230310451352413,0.013282421106047855,0.0,0.07500304959633003,0.06118853548988574,0.043815985875619495
18736,ASTROX 3 DG HF,尤尼克斯 YONEX,4U,346.0,433.0,0.0,0.0,0.031222903984288453,0.01989125170151844,0.020115418760797747,0.013854101243365956,0.0,0.0,0.0,0.0,0.006012261575111396,0.0,0.005658330278592366,0.007913391215695356,0.0
8491,ARCSABER TOUR 1000,尤尼克斯 YONEX,3U、4U,784.0,980.0,0.011354998485953697,0.09512958204562015,0.38051832818248066,0.04848354814611398,0.0,0.04221051512576481,0.0,0.0,0.0,0.028641209256733014,0.03663617779288527,0.0,0.10343841074156948,0.06027607163729815,0.060427622189257
6713,Nanospeed 1000,尤尼克斯 YONEX,3U,1400.0,1750.0,0.011500564003976027,0.0,0.03211636556184168,0.008184180580384663,0.02069103318116716,0.009500362944813514,0.0,0.0,0.0,0.01933891701913121,0.0,0.024634596083372668,0.011640493388337928,0.008139837513033002,0.010200379117256856
6697,JETSPEED S 12 F,威克多 VICTOR,3U、4U,1078.0,1037.0,0.0495745229431071,0.17799600968139598,0.05933200322713199,0.4611451673754875,0.3249104816504683,0.5002045940949834,0.12571567316914617,0.0,0.3280603872207202,0.5537662290607975,0.13709917182195772,0.18204051532585003,0.11827601864657204,1.0,0.24497529248725278
17826,AURASPEED ETA瑶光,威克多 VICTOR,3U、4U,358.0,442.0,0.10809558517284465,0.46957042560548995,0.45839017737678783,0.48291418153294036,0.2809129999004577,0.5407331654708868,0.0,0.13661109818380504,0.5298701298701298,0.5251118343974084,0.05166866748291542,0.12863577232715664,0.22489998428137914,0.4760472610756095,0.23436097843392675
7451,THRUSTER K 66 I,威克多 VICTOR,7U,317.0,396.0,0.12086140468769793,0.0,0.06750328164646217,0.6966725842881161,0.32616843841541954,0.6589502555727319,0.0,0.4124102277559354,0.15996054774905022,0.21339780457950605,0.0,0.31066704751396185,0.14679833597927763,0.4362690557275968,0.12863704576914703
20362,AURASPEED 2800,威克多 VICTOR,-,222.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8516,BRAVE SWORD 1800,威克多 VICTOR,3U、4U,226.0,283.0,0.010922495763454247,0.0,0.010167352565360754,0.007772808158425197,0.009825506044079953,0.009022833487134048,0.0,0.0,0.024093277331770357,0.004591714787601434,0.011746911788875708,0.0,0.0,0.015461387932030373,0.00968766380982244
7569,THRUSTER K 70,威克多 VICTOR,6U,212.0,265.0,0.21022849272123922,0.0,0.06523134306394826,0.4238823287075859,0.5043050893872767,0.4052186446541964,0.0,0.1992649275239968,0.3091536029778261,0.3240529849830446,0.15073084717307647,0.0,0.1418575865042091,0.24799157252477877,0.06215377281394602
7352,THRUSTER K 15B 星钻蓝,威克多 VICTOR,4U、5U,336.0,420.0,0.4063091869089091,0.35213436237144496,0.4695124831619266,0.5533599091524272,0.37810545333069645,0.5729080187436235,0.2487067462397232,0.2390399219517218,0.0,0.2297080793198002,0.11301126342099908,0.0,0.8721396057566554,0.4164899544974698,0.33552090346143193
6170,BRAVE SWORD LHI,威克多 VICTOR,3U、4U,382.0,478.0,0.0035383105541525045,0.0,0.0,0.0037769677010605933,0.028646495489412192,0.0043843807744069875,0.0,0.0,0.0,0.008924835447767763,0.005708066571242966,0.0,0.005372042701200431,0.007513007093780925,0.0
14490,THRUSTER K 88GB,威克多 VICTOR,4U,180.0,225.0,0.0,0.0,0.021410910374561113,0.004092090290192332,0.01034551659058358,0.004750181472406757,0.0,0.0,0.0,0.009669458509565606,0.0,0.0,0.005820246694168964,0.008139837513033002,0.010200379117256856
6821,BRAVE SWORD 11R,威克多 VICTOR,3U、4U,395.0,494.0,0.0,0.18600176832017676,0.06200058944005892,0.4976857235404131,0.41941204817533784,0.5502130382767583,0.39411002904297016,0.189395808531903,0.44076293799483385,0.44800495946893154,0.32234738851428146,0.0,0.30337136298361095,0.2121382245934626,0.11815088788254417
17381,超级波350,威克多 VICTOR,3U,275.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20609,THRUSTER F 隼 Ultra LTD,威克多 VICTOR,4U,1286.0,1607.0,0.0,0.0,0.0,0.013144931118172908,0.0,0.01017260191012276,0.0,0.0,0.0,0.010353662557487762,0.0,0.0,0.0,0.00871580666066793,0.0
12150,,威克多 VICTOR,95-100g,167.0,208.0,0.0,0.0,0.0404932408406757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
