eid,name_usuall,name_official,brand,series,launch_date,racket_weight,racket_length,grip_thickness,stringing_tension,price_new,price_old
20985,NANOFLARE 700 TOUR,2NF-700TEX NF700TOUR 疾光700TOUR,尤尼克斯 YONEX,疾光系列,2024年9月下旬,4U、5U,675mm ,G5、G6,4U（20-28LBS）、5U（19-27LBS）,685.0,563.0
18736,ASTROX 3 DG HF,天斧3DGHF AX3DGHF,尤尼克斯 YONEX,天斧系列,2023年,4U,675mm ,G4、G5,22-35LBS,433.0,346.0
8491,ARCSABER TOUR 1000,弓剑1000 ARCtour1000 弓1000,尤尼克斯 YONEX,弓剑系列,未知,3U、4U,675mm ,G4、G5,19-28LBS,980.0,784.0
6713,Nanospeed 1000,NS1000 NS-1000,尤尼克斯 YONEX,NS系列,2016年春季,3U,675mm ,G4、G5,<22LBS,1750.0,1400.0
6697,JETSPEED S 12 F,极速12F JS12F,威克多 VICTOR,极速系列,未知,3U、4U,675mm ,G5、G6,3U≤30LBS、4U≤29LBS,1037.0,1078.0
17826,AURASPEED ETA瑶光,神速瑶光 神速ETA ARS瑶光 ARSETA,威克多 VICTOR,神速系列,2024年1月,3U、4U,675mm ,G5、G6,3U≤28LBS、4U≤27LBS,442.0,358.0
7467,NANORAY 150,NR150,尤尼克斯 YONEX,锐速系列,2015年春季,3U,675mm ,G5,17-22LBS,345.0,276.0
7451,THRUSTER K 66 I,突击66I TK66I TK-66I,威克多 VICTOR,突击系列,2020年秋季,7U,675mm ,G6,≤31LBS,396.0,317.0
20362,AURASPEED 2800,ARS2800 神速2800,威克多 VICTOR,神速系列,未知,-,- ,-,-,278.0,222.0
8516,BRAVE SWORD 1800,BRS-1800 亮剑1800 BRS1800E BRS1800G,威克多 VICTOR,亮剑系列,未知,3U、4U,675mm ,-,≤24LBS,283.0,226.0
7569,THRUSTER K 70,TK-70 突击70 TK70 TK70H TK70F,威克多 VICTOR,突击系列,2019年秋季,6U,675mm ,G5、G6,≤31LBS,265.0,212.0
7352,THRUSTER K 15B 星钻蓝,TK-15B 突击15 TK15 TK15B,威克多 VICTOR,突击系列,未知,4U、5U,675mm ,G5、G6,4U≤27LBS、5U≤25LBS,420.0,336.0
21167,,VICTOR威克多 Ripple Power 21 LTD 羽毛球拍,威克多 VICTOR,,,3U,- ,G3,-,286.0,229.0
19392,,VICTOR威克多 Ripple Power 31 LTD 羽毛球拍,威克多 VICTOR,,,3U,675mm ,G4,19-26LBS,442.0,354.0
6170,BRAVE SWORD LHI,亮剑LHI 亮剑LHI,威克多 VICTOR,亮剑系列,未知,3U、4U,675mm ,-,3U≤30LBS、4U≤28LBS,478.0,382.0
14490,THRUSTER K 88GB,白金小隼 TK88GB TK-88GB,威克多 VICTOR,突击系列,2022-10,4U,675mm ,G5,≤28LBS,225.0,180.0
5348,BRAVE SWORD LYD,亮剑LYD BRSLYD BRS-LYD 亮剑LTD BRSLTD BRS-LTD,威克多 VICTOR,亮剑系列,2012年,2U、3U、4U,675 ,G2,24-26LBS,522.0,300.0
6821,BRAVE SWORD 11R,亮剑11R BRS11R,威克多 VICTOR,亮剑系列,2017年9月,3U、4U,675mm ,G4、G5,≤30LBS,494.0,395.0
17381,超级波350,SW-350 SW350,威克多 VICTOR,超级波系列,未知,3U,675mm ,G5,24-26LBS,344.0,275.0
20609,THRUSTER F 隼 Ultra LTD,TK-F隼UltraLTD TK-F隼Ultra巴黎奥运会纪念版,威克多 VICTOR,突击系列,2024年,4U,675mm ,G5,4U≤31LBS,1607.0,1286.0
12150,,未知,威克多 VICTOR,,威克多VICTOR 胜利铝合金羽毛球拍单拍CR-108 男女初学入门训练羽拍,95-100g,675mm ,-,-,208.0,167.0
7721,AURASPEED 30H,神速30H AURASPEED30H ARS-30H ARS30H,威克多 VICTOR,神速系列,2019年春季,3U、4U,675mm ,G4、G5,≤32LBS,280.0,224.0
21730,BRAVE SWORD 12 PRO,亮剑12PRO BRS12PRO,威克多 VICTOR,亮剑系列,2024年,4U,- ,G5,≤30LBS,884.0,707.0
10693,AURASPEED 100X SE,神速100XSE AURASPEED100XSE 阿山签名 ARS-100XSE ARS100XSE,威克多 VICTOR,神速系列,2021年,4U,675mm ,G5,≤28LBS,332.0,266.0
14441,AURASPEED 58,神速58 ARS58 AURASPEED58,威克多 VICTOR,神速系列,未知,3U、4U,675mm ,G5,3U≤28LBS、4U≤27LBS,580.0,560.0
8701,Artery Tec 920,脉动920 ART-920 ART920,威克多 VICTOR,脉动系列,未知,3U,675mm ,G2,H≤28LBS、V≤26LBS,402.0,322.0
7568,DriveX 8S,DX8S DX-8S 驭8S,威克多 VICTOR,驭系列,2019年秋季,4U,675mm ,G5、G6,≤28LBS,260.0,208.0
14622,AURASPEED WDS,ARS-WDS 神速WDS ARSWDS,威克多 VICTOR,神速系列,2022年,3U、4U,675mm ,G5,3U≤30LBS、4U≤29LBS）,659.0,600.0
15201,HYPERNANO X 500 POWER,hx500p,威克多 VICTOR,HX系列,未知,3U、4U,675mm ,G5,≤28LBS,491.0,393.0
6208,JETSPEED S 08,极速08 JS08 JS-08E JS-08B,威克多 VICTOR,极速系列,2014年,4U、5U,675mm ,G5、G6,4U≤27LBS、5U≤25LBS,239.0,191.0
17819,AURASPEED 90F TD,神速90FTD ARS90FTD,威克多 VICTOR,神速系列,2023年12月,3U、4U,675mm ,G5、G6,3U≤28LBS、4U≤27LBS,475.0,380.0
20081,,2024年,威克多 VICTOR,,VICTOR威克多 MJOLNIR METALLIC GB 雷神之锤限量版礼盒,4U,- ,G5,≤30LBS,817.0,654.0
