eid,comment_star,comment,入门,高端,性价比,暴力,进攻,杀球,控制,头重,连贯,速度,中杆硬,中杆软,糖水,颜值,拉吊
16940,5,"进攻拍是什么样的？打起来是什么样的？
我想，问题的答案都在波力荣耀002中。
但是朋友，真理的大门总有门槛，能挥出它的力并能卸住它，002才能对你敞开怀抱。是你一直苦苦寻觅的一拍势大力沉的重杀，是...",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
16940,5,"波力有史以来颜值担当，实物更是惊艳，半消光磨砂漆看起来很高级，黑红搭配，低调内敛中透漏出高贵，一看就知道暴力进攻拍。
66n横28竖27，去底平衡点305mm，暴力进攻属性展现的淋漓精致，甭管前场还...",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
16940,5,305的平衡点使得拍子头重感明显，但搭配6.5的非实心中杆使用起来好驱动，中杆弹而不震，反馈比较清晰，小拍框，需要适应，有上手门槛，4u连贯上非常不错，3u具有的威力更强劲，考验体力负担，配色较为靓丽...,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16940,5,小拍框，进攻暴力，出球稳定，舒服，猛男必买。我觉得比100zz好，不信别杠。...,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
16940,1,小拍框，杀球聚力，平衡点类似vt，杀球快，好借力  唯一不够就是中杆调教弱于三大厂，但是相比于001  中杆调教更硬弹 类似龙牙中杆  反馈更好  没有001那种木软的感觉 这是很大进步  目前波力最...,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
16940,5,"这款首先在颜值和质感上都已经超出众多球友对波力拍子外观设计刷新认识了，波力拍子外设审美得到了提高（这一年多以来很多产品设计上都没有那么老气了），拍子非常有质感，实际颜值比网图好看
  打感上要比10...",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16940,5,"媳妇睡着了但是我还精神着，就写写吧。
nr900使用了有三年，蓝色那款，中杆非常脆弹。后来换了威臣的70x，也用了近两年，也非常脆弹，就是没900出球扎实。在一次和拉线师（是我所在城市拉线技术数一数...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16940,5,一拍钉地板，比我的88Dpro杀球凌厉多了，聚力感强，而且很好打，和龙牙一代4u的杀球感觉很像，但又比它挥重小，省力，这拍子后期肯定涨价。...,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
16940,4,头重干硬，小拍框聚力，拍框上半部流体盒式框，下部逐渐变为极薄破风框，所以挥速还是不慢的，颜值个人感觉简约大方，配色骚气，说实话颜值已经在波力一众配色像上个世纪的拍子中脱颖而出了，002好像是经销商定制...,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
16940,5,我的白月光，漆水超有质感，第一次上手就被他无与伦比的打感吸引了，杀球就和🐍出来一样爽...,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
16940,5,"荣耀002的磨砂质感漆水很上档次，整体配色也相当漂亮，拍子越粉杀球越狠一点都不假😂
小拍框，中杆硬弹，头重感很强，第一次大有点不适应，不容易打中甜点，杀球威力也没有打出来，有点怀疑是...",0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
16940,5,宣传是暴力进攻，我个人感受我平衡偏进攻，头重感不是很足，但是非常好打...,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16940,5,之前一直打单打，最近加入了双打的行列，圈子水平不高，双打容易撞拍。舍不得拿出我的老色JP88D😂，正好手里有一把波力兰帕德，双打打了一段时间后发现，灵活是灵活，后场杀球缺点意思(说实话...,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
16940,4,物有所值的拍子，就是中端拍的水平，漆水很棒，外观很赞，但是跟千元拍还是有差距...,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16940,5,漆水外观上算是波力里面做的最有创新的了，有点红厂漆水那味了，非常有创意了!小拍框，主打进攻!暴力进攻拍!稍微有上手门槛...,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
